purchase_id,customer_id,purchase_date,purchase_amount,product_category,repeat_buyer,customer_segment,promotion_flag,region
100001,CUST0236,2023-03-13,101.65,Electronics,0,New,0,East
100002,CUST2979,2024-05-29,43.14,Clothing,0,New,0,South
100003,CUST1665,2024-10-10,108.48,Sports,0,New,0,West
100004,CUST0215,2022-05-15,163.55,Electronics,0,High Value,0,West
100005,CUST1396,2024-04-02,52.49,Home,0,New,0,Central
100006,CUST2169,2023-01-24,21.83,Sports,0,New,0,Central
100007,CUST1118,2024-11-05,29.08,Home,0,New,1,Central
100008,CUST0493,2024-05-05,81.8,Clothing,0,New,0,East
100009,CUST1929,2023-03-21,63.83,Home,0,New,0,West
100010,CUST2588,2024-10-22,33.81,Clothing,0,New,0,West
100011,CUST2166,2023-11-02,129.25,Electronics,0,New,1,South
100012,CUST1801,2022-08-24,35.26,Electronics,0,New,0,Central
100013,CUST1196,2022-08-22,39.24,Clothing,0,New,0,North
100014,CUST1466,2024-11-13,157.86,Home,0,High Value,0,West
100015,CUST2563,2024-10-29,76.0,Electronics,0,New,0,West
100016,CUST0445,2023-07-04,179.74,Electronics,0,High Value,0,North
100017,CUST1008,2022-03-23,121.66,Electronics,0,New,0,East
100018,CUST0398,2023-05-30,119.12,Sports,0,New,0,North
100019,CUST1319,2022-06-27,147.74,Electronics,0,New,0,East
100020,CUST0203,2024-02-24,64.12,Sports,0,New,0,Central
100021,CUST0702,2022-07-30,150.67,Sports,0,High Value,0,Central
100022,CUST1448,2023-10-07,153.24,Clothing,0,High Value,0,South
100023,CUST1591,2023-06-24,150.47,Sports,0,High Value,1,South
100024,CUST2512,2022-12-04,61.75,Clothing,0,New,0,Central
100025,CUST1489,2023-05-12,113.02,Sports,0,New,0,South
100026,CUST1454,2023-02-28,49.19,Electronics,0,New,0,North
100027,CUST0822,2022-03-11,95.46,Electronics,0,New,0,West
100028,CUST0168,2022-01-26,56.41,Sports,0,New,0,West
100029,CUST0184,2024-04-03,143.93,Electronics,0,New,0,South
100030,CUST2732,2023-09-13,97.69,Clothing,0,New,0,Central
100031,CUST1120,2024-07-11,76.95,Home,0,New,0,East
100032,CUST2119,2023-09-21,123.19,Clothing,0,New,0,South
100033,CUST0657,2023-10-16,182.96,Electronics,0,High Value,0,East
100034,CUST1364,2024-08-29,134.1,Electronics,0,New,0,Central
100035,CUST1067,2022-03-18,181.2,Electronics,0,High Value,0,West
100036,CUST2458,2023-06-09,150.92,Electronics,0,High Value,1,West
100037,CUST1615,2024-12-04,70.4,Clothing,0,New,1,Central
100038,CUST1062,2022-11-19,44.62,Clothing,0,New,1,East
100039,CUST0218,2022-11-02,155.09,Electronics,0,High Value,1,Central
100040,CUST2572,2023-09-03,137.51,Home,0,New,0,West
100041,CUST0062,2024-11-01,46.1,Clothing,0,New,0,West
100042,CUST1315,2022-07-05,31.65,Sports,0,New,0,South
