purchase_id,customer_id,purchase_date,purchase_amount,product_category,repeat_buyer,customer_segment,promotion_flag,region,inventory_index
100001,CUST1784,2023-12-02,189.67,Clothing,0,High Value,1,North,146.59
100002,CUST1500,2022-06-17,38.25,Electronics,0,New,1,South,149.74
100003,CUST2438,2023-09-07,49.31,Home,0,New,0,North,190.88
100004,CUST0201,2024-03-15,101.51,Home,0,New,0,East,162.11
100005,CUST2497,2022-07-04,71.99,Sports,0,New,0,West,59.16
100006,CUST0053,2023-02-17,175.45,Clothing,0,High Value,0,West,71.42
100007,CUST2330,2024-09-06,124.33,Sports,0,New,0,North,117.09
100008,CUST2130,2024-11-23,195.15,Sports,0,High Value,1,East,184.68
100009,CUST2817,2022-05-26,48.54,Electronics,0,New,0,North,126.27
100010,CUST0824,2024-07-18,146.68,Clothing,0,New,0,South,89.58
100011,CUST2196,2024-04-15,38.37,Electronics,0,New,0,East,167.37
100012,CUST2192,2023-02-02,61.34,Home,0,New,0,South,94.19
100013,CUST2922,2022-01-20,52.08,Electronics,0,New,0,South,162.73
100014,CUST2770,2023-11-10,170.54,Clothing,0,High Value,1,East,189.59
100015,CUST2193,2022-08-21,197.06,Electronics,0,High Value,0,South,199.53
100016,CUST2249,2022-10-17,29.77,Home,0,New,0,West,77.33
100017,CUST2919,2023-11-16,186.24,Electronics,0,High Value,1,North,154.0
100018,CUST2132,2024-04-13,196.79,Sports,0,High Value,0,Central,108.2
100019,CUST2260,2024-10-12,64.24,Electronics,0,New,0,North,186.83
100020,CUST1948,2024-06-16,200.91,Home,0,High Value,1,Central,88.29
100021,CUST0628,2022-03-09,195.62,Clothing,0,High Value,0,East,153.8
100022,CUST0835,2022-06-27,78.13,Sports,0,New,0,North,184.19
100023,CUST0873,2024-05-12,46.7,Electronics,0,New,0,West,147.4
100024,CUST1478,2022-07-15,98.73,Clothing,0,New,0,Central,76.59
100025,CUST0407,2024-06-22,94.02,Clothing,0,New,1,West,62.22
100026,CUST2896,2024-10-06,69.01,Electronics,0,New,0,West,81.4
100027,CUST1921,2024-10-18,35.78,Home,0,New,0,Central,119.84
100028,CUST0271,2023-11-26,181.85,Clothing,0,High Value,0,South,163.56
100029,CUST0557,2024-06-15,144.06,Electronics,0,New,1,South,154.17
100030,CUST0622,2024-02-03,35.16,Sports,0,New,0,East,51.02
100031,CUST2709,2022-07-31,117.52,Sports,0,New,0,South,156.15
100032,CUST1186,2024-11-11,203.35,Sports,0,High Value,1,West,128.18
100033,CUST1755,2024-06-13,32.94,Clothing,0,New,0,Central,121.63
100034,CUST1684,2022-06-26,140.81,Clothing,0,New,1,Central,162.35
100035,CUST1217,2023-10-18,54.28,Sports,0,New,0,South,57.25
100036,CUST2287,2022-05-23,52.67,Sports,0,New,0,South,141.47
100037,CUST1814,2024-10-21,30.94,Sports,0,New,0,East,81.15
100038,CUST1131,2023-08-10,180.93,Sports,0,High Value,0,South,115.09
100039,CUST1860,2024-02-27,52.96,Sports,0,New,0,Central,151.88
