purchase_id,customer_id,purchase_date,purchase_amount,product_category,repeat_buyer,customer_segment,promotion_flag,region,inventory_index,year,month,day_of_week,is_weekend,season
100001,CUST1069,2023-12-01,322.88,Home,1,High Value,1,South,192.65,2023,12,Friday,0,Winter
100002,CUST0258,2024-06-12,96.85,Electronics,1,New,1,North,162.13,2024,6,Wednesday,0,Summer
100003,CUST0355,2024-06-24,73.67,Electronics,1,New,0,West,267.1,2024,6,Monday,0,Summer
100004,CUST0821,2024-12-04,362.98,Sports,1,High Value,1,North,167.4,2024,12,Wednesday,0,Winter
100005,CUST0248,2023-03-19,139.39,Clothing,1,New,0,South,194.91,2023,3,Sunday,1,Spring
100006,CUST0525,2023-07-25,254.18,Home,1,High Value,1,North,170.72,2023,7,Tuesday,0,Summer
100007,CUST2037,2024-01-16,26.78,Home,1,New,0,North,233.32,2024,1,Tuesday,0,Winter
100008,CUST0115,2022-05-03,206.47,Clothing,1,High Value,1,West,132.18,2022,5,Tuesday,0,Spring
100009,CUST2152,2022-09-20,55.77,Sports,1,New,0,South,119.98,2022,9,Tuesday,0,Fall
100010,CUST0016,2023-12-24,69.26,Clothing,1,New,0,East,132.4,2023,12,Sunday,1,Winter
100011,CUST0177,2024-05-21,21.58,Clothing,1,New,0,West,241.65,2024,5,Tuesday,0,Spring
100012,CUST1391,2023-10-08,67.01,Electronics,1,New,0,Central,298.12,2023,10,Sunday,1,Fall
100013,CUST0341,2024-08-30,145.7,Electronics,1,New,0,West,140.51,2024,8,Friday,0,Summer
100014,CUST0116,2023-07-23,46.16,Sports,1,New,0,East,235.57,2023,7,Sunday,1,Summer
100015,CUST0296,2022-05-14,110.99,Clothing,1,New,0,North,125.19,2022,5,Saturday,1,Spring
100016,CUST1188,2022-11-22,113.83,Clothing,1,New,1,North,237.06,2022,11,Tuesday,0,Fall
100017,CUST1841,2023-11-03,136.07,Electronics,1,New,1,Central,121.71,2023,11,Friday,0,Fall
100018,CUST1550,2023-11-17,320.99,Sports,1,High Value,1,North,291.32,2023,11,Friday,0,Fall
100019,CUST2981,2022-12-25,143.46,Clothing,1,New,1,North,159.87,2022,12,Sunday,1,Winter
100020,CUST1292,2023-09-11,186.92,Electronics,1,High Value,1,East,249.89,2023,9,Monday,0,Fall
100021,CUST1108,2022-04-20,42.77,Home,1,New,0,South,150.58,2022,4,Wednesday,0,Spring
100022,CUST0831,2022-06-04,148.78,Home,1,New,0,North,108.74,2022,6,Saturday,1,Summer
100023,CUST1768,2023-03-19,370.34,Electronics,1,High Value,1,Central,163.96,2023,3,Sunday,1,Spring
100024,CUST2580,2024-01-05,83.78,Clothing,1,New,0,North,275.96,2024,1,Friday,0,Winter
100025,CUST1241,2023-04-11,136.59,Clothing,1,New,0,West,292.73,2023,4,Tuesday,0,Spring
100026,CUST0092,2023-06-06,196.23,Sports,1,High Value,1,West,289.06,2023,6,Tuesday,0,Summer
100027,CUST0522,2022-12-10,103.61,Home,1,New,0,North,284.99,2022,12,Saturday,1,Winter
100028,CUST1120,2023-01-09,129.47,Clothing,1,New,0,East,247.49,2023,1,Monday,0,Winter
100029,CUST2262,2023-01-22,55.44,Sports,1,New,0,South,203.16,2023,1,Sunday,1,Winter
100030,CUST2994,2022-06-20,138.78,Home,1,New,0,East,189.28,2022,6,Monday,0,Summer
100031,CUST1532,2022-10-13,125.78,Clothing,1,New,0,East,268.0,2022,10,Thursday,0,Fall
100032,CUST1088,2022-08-05,127.9,Home,1,New,0,South,293.88,2022,8,Friday,0,Summer
100033,CUST1345,2022-06-10,338.19,Home,1,High Value,1,South,178.12,2022,6,Friday,0,Summer
100034,CUST0689,2024-05-09,21.12,Sports,1,New,0,East,168.6,2024,5,Thursday,0,Spring
100035,CUST0193,2024-10-13,135.09,Electronics,1,New,0,East,249.43,2024,10,Sunday,1,Fall
100036,CUST0305,2022-05-08,133.45,Clothing,1,New,0,East,156.23,2022,5,Sunday,1,Spring
100037,CUST1741,2022-03-14,55.85,Clothing,1,New,0,East,212.39,2022,3,Monday,0,Spring
100038,CUST0481,2024-12-24,185.76,Sports,1,High Value,1,Central,176.97,2024,12,Tuesday,0,Winter
100039,CUST2944,2023-03-01,58.97,Electronics,1,New,0,North,288.95,2023,3,Wednesday,0,Spring
100040,CUST2765,2023-11-10,343.86,Clothing,1,High Value,1,South,108.97,2023,11,Friday,0,Fall
100041,CUST2809,2024-12-20,442.35,Sports,1,High Value,1,East,267.47,2024,12,Friday,0,Winter
