purchase_id,customer_id,purchase_date,purchase_amount,product_category,repeat_buyer,customer_segment,promotion_flag,region,inventory_index,year,month,day_of_week,is_weekend,season
100001,CUST1375,2022-09-27,86.35,Home,1,New,0,West,127.93,2022,9,Tuesday,0,Fall
100002,CUST2096,2024-12-15,321.09,Home,1,High Value,1,West,154.58,2024,12,Sunday,1,Winter
100003,CUST0986,2024-04-23,255.74,Sports,1,High Value,1,South,123.8,2024,4,Tuesday,0,Spring
100004,CUST2897,2024-07-02,220.85,Home,1,High Value,1,East,134.14,2024,7,Tuesday,0,Summer
100005,CUST0239,2022-04-26,398.83,Home,1,High Value,1,North,186.73,2022,4,Tuesday,0,Spring
100006,CUST2887,2024-01-04,33.19,Home,1,New,0,West,287.17,2024,1,Thursday,0,Winter
100007,CUST0777,2023-06-18,301.07,Sports,1,High Value,1,West,158.62,2023,6,Sunday,1,Summer
100008,CUST0713,2022-03-22,19.52,Electronics,1,New,0,East,166.03,2022,3,Tuesday,0,Spring
100009,CUST1197,2023-06-09,66.46,Clothing,1,New,0,Central,234.09,2023,6,Friday,0,Summer
100010,CUST2165,2022-12-01,444.57,Clothing,1,High Value,1,East,188.98,2022,12,Thursday,0,Winter
100011,CUST2274,2024-03-30,43.82,Home,1,New,0,West,176.1,2024,3,Saturday,1,Spring
100012,CUST2141,2024-01-19,87.88,Clothing,1,New,0,Central,165.61,2024,1,Friday,0,Winter
100013,CUST1659,2024-02-28,101.65,Sports,1,New,0,North,200.63,2024,2,Wednesday,0,Winter
100014,CUST2974,2022-07-30,435.43,Electronics,1,High Value,1,East,130.19,2022,7,Saturday,1,Summer
100015,CUST0982,2023-05-16,45.12,Sports,1,New,0,North,158.27,2023,5,Tuesday,0,Spring
100016,CUST0315,2024-02-08,145.65,Clothing,1,New,0,South,158.85,2024,2,Thursday,0,Winter
100017,CUST2567,2024-05-10,59.18,Clothing,1,New,0,West,128.87,2024,5,Friday,0,Spring
100018,CUST1620,2022-11-01,85.17,Electronics,1,New,1,West,126.3,2022,11,Tuesday,0,Fall
100019,CUST2777,2022-03-31,33.58,Electronics,1,New,0,North,106.47,2022,3,Thursday,0,Spring
100020,CUST2199,2022-04-18,53.56,Sports,1,New,0,South,132.4,2022,4,Monday,0,Spring
100021,CUST1330,2024-09-07,27.05,Electronics,1,New,0,South,84.58,2024,9,Saturday,1,Fall
100022,CUST0901,2023-09-22,160.43,Sports,1,New,1,South,146.34,2023,9,Friday,0,Fall
100023,CUST0728,2023-11-26,94.75,Home,1,New,0,North,120.99,2023,11,Sunday,1,Fall
100024,CUST1374,2023-07-04,49.07,Electronics,1,New,0,East,180.03,2023,7,Tuesday,0,Summer
100025,CUST2450,2023-12-29,98.16,Sports,1,New,0,North,118.44,2023,12,Friday,0,Winter
100026,CUST1491,2022-04-29,123.67,Electronics,1,New,0,North,112.51,2022,4,Friday,0,Spring
100027,CUST1505,2023-11-06,341.86,Electronics,1,High Value,1,West,196.94,2023,11,Monday,0,Fall
100028,CUST2888,2023-03-21,44.97,Home,1,New,0,North,66.68,2023,3,Tuesday,0,Spring
100029,CUST0621,2022-08-21,350.52,Clothing,1,High Value,1,South,214.53,2022,8,Sunday,1,Summer
100030,CUST1710,2024-06-18,135.78,Sports,1,New,1,South,270.63,2024,6,Tuesday,0,Summer
100031,CUST1249,2024-05-24,20.99,Clothing,1,New,0,Central,167.43,2024,5,Friday,0,Spring
100032,CUST2528,2024-06-14,503.75,Electronics,1,High Value,1,West,153.16,2024,6,Friday,0,Summer
100033,CUST0202,2022-03-10,39.53,Clothing,1,New,0,North,105.97,2022,3,Thursday,0,Spring
100034,CUST2198,2023-10-16,115.61,Home,1,New,1,West,158.85,2023,10,Monday,0,Fall
100035,CUST2685,2023-04-13,601.66,Sports,1,High Value,1,North,122.46,2023,4,Thursday,0,Spring
100036,CUST1432,2022-11-04,169.22,Sports,1,New,1,North,153.6,2022,11,Friday,0,Fall
100037,CUST2735,2024-05-17,67.29,Electronics,1,New,0,South,72.45,2024,5,Friday,0,Spring
100038,CUST2800,2024-12-25,376.38,Electronics,1,High Value,1,Central,171.02,2024,12,Wednesday,0,Winter
100039,CUST1768,2023-02-27,53.56,Clothing,1,New,0,East,105.81,2023,2,Monday,0,Winter
100040,CUST2732,2024-06-07,50.61,Electronics,1,New,0,East,89.92,2024,6,Friday,0,Summer
100041,CUST2882,2022-08-18,22.08,Clothing,1,New,0,South,84.23,2022,8,Thursday,0,Summer
100042,CUST0979,2022-01-20,69.2,Home,1,New,0,East,244.24,2022,1,Thursday,0,Winter
100043,CUST1034,2022-04-30,66.37,Sports,1,New,0,Central,131.65,2022,4,Saturday,1,Spring
100044,CUST0666,2022-03-01,146.68,Sports,1,New,0,East,122.22,2022,3,Tuesday,0,Spring
100045,CUST0870,2024-01-30,106.63,Sports,1,New,0,East,178.81,2024,1,Tuesday,0,Winter
100046,CUST0921,2024-05-08,25.64,Sports,1,New,0,East,142.65,2024,5,Wednesday,0,Spring
100047,CUST2822,2023-02-21,62.68,Electronics,1,New,0,South,210.83,2023,2,Tuesday,0,Winter
100048,CUST0242,2023-11-07,29.93,Sports,1,New,0,South,178.8,2023,11,Tuesday,0,Fall
100049,CUST0530,2023-03-09,34.61,Home,1,New,0,North,211.29,2023,3,Thursday,0,Spring
100050,CUST2297,2023-08-14,72.69,Electronics,1,New,0,North,152.66,2023,8,Monday,0,Summer
100051,CUST1249,2022-02-18,108.22,Electronics,3,High Value,1,South,130.37,2022,2,Friday,0,Winter
100052,CUST2911,2023-09-19,100.74,Electronics,1,New,0,South,114.16,2023,9,Tuesday,0,Fall
